Lineup 1,Team 1,GP 1,MIN 1,OFFRTG 1,DEFRTG 1,NETRTG 1,Lineup 2,Team 2,GP 2,MIN 2,OFFRTG 2,DEFRTG 2,NETRTG 2,Common Players,Player Removed,Player Added,OFFRTG Difference,DEFRTG Difference,NETRTG Difference,Substituted Minutes
J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,LAC,19,257,112.5,102.4,10.1,J. Harden - K. Dunn - I. Zubac - D. Jones Jr. - A. Coffey,LAC,15,152,108.7,103.9,4.8,"D. Jones Jr., J. Harden, K. Dunn, I. Zubac",N. Powell,A. Coffey,-3.799999999999997,1.5,-5.3,105
J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,LAC,19,257,112.5,102.4,10.1,J. Harden - K. Leonard - N. Powell - I. Zubac - D. Jones Jr.,LAC,9,116,133.3,94.8,38.5,"D. Jones Jr., J. Harden, N. Powell, I. Zubac",K. Dunn,K. Leonard,20.80000000000001,-7.6000000000000085,28.4,141
J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,LAC,19,257,112.5,102.4,10.1,J. Harden - N. Powell - I. Zubac - D. Jones Jr. - A. Coffey,LAC,19,85,112.2,106.5,5.7,"D. Jones Jr., J. Harden, N. Powell, I. Zubac",K. Dunn,A. Coffey,-0.29999999999999716,4.099999999999994,-4.3999999999999995,172
J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,LAC,19,257,112.5,102.4,10.1,J. Harden - N. Powell - K. Dunn - I. Zubac - A. Coffey,LAC,14,57,135.8,94.3,41.6,"N. Powell, J. Harden, K. Dunn, I. Zubac",D. Jones Jr.,A. Coffey,23.30000000000001,-8.100000000000009,31.5,200
J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,LAC,19,257,112.5,102.4,10.1,J. Harden - K. Leonard - N. Powell - K. Dunn - I. Zubac,LAC,3,43,95.7,117.0,-21.3,"N. Powell, J. Harden, K. Dunn, I. Zubac",D. Jones Jr.,K. Leonard,-16.799999999999997,14.599999999999994,-31.4,214
J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,LAC,19,257,112.5,102.4,10.1,N. Batum - J. Harden - N. Powell - K. Dunn - I. Zubac,LAC,8,30,111.6,84.6,27.0,"N. Powell, J. Harden, K. Dunn, I. Zubac",D. Jones Jr.,N. Batum,-0.9000000000000057,-17.80000000000001,16.9,227
N. Vučević - Z. LaVine - C. White - P. Williams - J. Giddey,CHI,22,250,106.7,111.8,-5.1,N. Vučević - Z. LaVine - C. White - P. Williams - A. Dosunmu,CHI,15,105,107.5,109.0,-1.5,"Z. LaVine, N. Vučević, C. White, P. Williams",J. Giddey,A. Dosunmu,0.7999999999999972,-2.799999999999997,3.5999999999999996,145
N. Vučević - Z. LaVine - C. White - P. Williams - J. Giddey,CHI,22,250,106.7,111.8,-5.1,N. Vučević - Z. LaVine - C. White - A. Dosunmu - J. Giddey,CHI,13,104,116.7,119.8,-3.2,"Z. LaVine, N. Vučević, C. White, J. Giddey",P. Williams,A. Dosunmu,10.0,8.0,1.8999999999999995,146
N. Vučević - Z. LaVine - C. White - P. Williams - J. Giddey,CHI,22,250,106.7,111.8,-5.1,N. Vučević - Z. LaVine - L. Ball - P. Williams - J. Giddey,CHI,13,79,115.5,102.4,13.1,"N. Vučević, Z. LaVine, P. Williams, J. Giddey",C. White,L. Ball,8.799999999999997,-9.399999999999991,18.2,171
N. Vučević - Z. LaVine - C. White - P. Williams - J. Giddey,CHI,22,250,106.7,111.8,-5.1,N. Vučević - Z. LaVine - P. Williams - A. Dosunmu - J. Giddey,CHI,16,51,102.5,110.1,-7.6,"N. Vučević, Z. LaVine, P. Williams, J. Giddey",C. White,A. Dosunmu,-4.200000000000003,-1.7000000000000028,-2.5,199
